DATA PEDIDO,DATA ENTREGA,PRODUTO,MEIO,FALHAS,STATUS,MOTIVO,Prazo
18/10/2004,3/12/2004,COBRANÇA COM REGISTRO,INTERNET,4,Desistiu,NÃO CUMPRIU PRAZO,46
18/10/2004,3/12/2004,COBRANÇA SEM REGISTRO,INTERNET,7,Desistiu,FALTA ASSISTENCIA TECNICA,46
18/10/2004,2/12/2004,COBRANÇA COM REGISTRO,INTERNET,9,Desistiu,MUITA BUROCRACIA,45
18/10/2004,2/12/2004,COBRANÇA COM REGISTRO,INTERNET,6,Desistiu,MUITA BUROCRACIA,45
18/10/2004,15/11/2004,CONTAS A PAGAR,CNAB,7,Operando,,28
18/10/2004,29/11/2004,CONTAS A PAGAR,INTERNET,7,Operando,,42
18/10/2004,27/11/2004,CONTAS A PAGAR,INTERNET,4,Operando,,40
18/10/2004,27/11/2004,CONTAS A PAGAR,INTERNET,6,Operando,,40
18/10/2004,26/11/2004,CONTAS A PAGAR,INTERNET,5,Operando,,39
18/10/2004,26/11/2004,CONTAS A PAGAR,INTERNET,6,Operando,,39
18/10/2004,26/11/2004,CONTAS A PAGAR,INTERNET,5,Operando,,39
18/10/2004,26/11/2004,CONTAS A PAGAR,INTERNET,7,Operando,,39
18/10/2004,25/11/2004,CONTAS A PAGAR,INTERNET,9,Operando,,38
18/10/2004,25/11/2004,CONTAS A PAGAR,INTERNET,5,Operando,,38
18/10/2004,23/11/2004,CONTAS A PAGAR,INTERNET,5,Operando,,36
18/10/2004,27/10/2004,COBRANÇA SEM REGISTRO,INTERNET,3,Operando,,9
18/10/2004,27/10/2004,COBRANÇA SEM REGISTRO,INTERNET,2,Operando,,9
19/10/2004,7/2/2005,CONTAS A PAGAR,CNAB,12,Desistiu,NÃO CUMPRIU PRAZO,111
19/10/2004,31/1/2005,COBRANÇA SEM REGISTRO,CNAB,11,Desistiu,NÃO CUMPRIU PRAZO,104
19/10/2004,9/11/2004,COBRANÇA COM REGISTRO,CNAB,4,Operando,,21
19/10/2004,17/11/2004,CONTAS A PAGAR,INTERNET,7,Operando,,29
19/10/2004,9/11/2004,CONTAS A PAGAR,INTERNET,4,Operando,,21
20/10/2004,18/11/2004,CONTAS A PAGAR,INTERNET,7,Desistiu,MUITA BUROCRACIA,29
22/10/2004,4/2/2005,COBRANÇA COM REGISTRO,CNAB,12,Desistiu,NÃO CUMPRIU PRAZO,105
22/10/2004,6/11/2004,CONTAS A PAGAR,CNAB,3,Desistiu,FALTA ASSISTENCIA TECNICA,15
22/10/2004,31/1/2005,CONTAS A PAGAR,INTERNET,12,Desistiu,MUITA BUROCRACIA,101
22/10/2004,11/12/2004,CONTAS A PAGAR,INTERNET,8,Operando,,50
22/10/2004,18/11/2004,CONTAS A PAGAR,INTERNET,5,Operando,,27
25/10/2004,25/11/2004,CONTAS A PAGAR,CNAB,3,Operando,,31
26/10/2004,7/2/2005,CONTAS A PAGAR,CNAB,11,Desistiu,NÃO CUMPRIU PRAZO,104
26/10/2004,24/12/2004,COBRANÇA COM REGISTRO,CNAB,7,Desistiu,MUDANÇAS INTERNAS,59
26/10/2004,26/11/2004,CONTAS A PAGAR,CNAB,5,Desistiu,OFERTA CONCORRENCIA,31
26/10/2004,7/12/2004,COBRANÇA COM REGISTRO,INTERNET,6,Operando,,42
27/10/2004,8/2/2005,COBRANÇA SEM REGISTRO,CNAB,12,Desistiu,NÃO CUMPRIU PRAZO,104
27/10/2004,8/2/2005,CONTAS A PAGAR,CNAB,13,Desistiu,NÃO CUMPRIU PRAZO,104
27/10/2004,28/1/2005,COBRANÇA COM REGISTRO,CNAB,9,Desistiu,NÃO CUMPRIU PRAZO,93
27/10/2004,11/12/2004,CONTAS A PAGAR,INTERNET,6,Desistiu,MUITA BUROCRACIA,45
27/10/2004,11/12/2004,CONTAS A PAGAR,INTERNET,7,Operando,,45
